Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230103
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;year;    79.45;    79.79;    99.53;   117.17;    81.24;    74.85;    71.65;    71.51;    56.23;    70.74;    63.55;    65.41;    87.59;    80.79;    88.72;    99.08;    85.57;
1952;year;   110.82;   110.91;   117.32;   127.31;   105.71;   105.55;    98.45;    98.32;    86.70;    99.27;    95.43;    97.67;   118.65;   110.05;   113.92;   118.98;   109.43;
1953;year;    91.13;    91.30;   117.09;   126.08;    92.66;    84.26;    73.49;    73.31;    68.27;    87.28;    65.55;    83.74;    94.22;    83.56;    91.33;   101.48;    94.54;
1954;year;    98.99;    99.32;   105.27;   116.72;    91.58;    95.34;    84.46;    84.37;    71.62;    84.88;    86.07;    78.54;   103.14;    93.93;    99.92;   107.73;    96.70;
1955;year;   112.43;   112.57;   128.30;   134.60;   121.86;   111.79;   104.62;   104.56;   100.34;   118.47;   101.55;   112.47;   118.07;   108.60;   115.71;   124.98;   117.22;
1956;year;   102.73;   102.99;   120.49;   130.17;   106.64;   103.50;    95.55;    95.40;    90.29;   103.77;    95.18;   100.95;   114.20;    99.15;   106.87;   116.95;   108.80;
1957;year;    82.45;    82.75;    99.48;   110.09;    80.26;    76.16;    64.21;    64.02;    57.56;    77.72;    60.58;    71.71;    88.00;    74.83;    82.47;    92.43;    83.24;
1958;year;    95.00;    95.14;   104.53;   117.62;    91.49;    95.62;    86.05;    85.99;    78.23;    88.68;    89.61;    85.42;    99.89;    89.07;    94.78;   102.23;    97.04;
1959;year;    88.69;    88.97;   105.74;   122.17;    90.13;    74.71;    77.34;    77.15;    69.71;    81.77;    66.67;    70.70;    94.21;    84.75;    91.15;    99.51;    91.91;
1960;year;    79.95;    80.15;    88.64;   106.40;    75.92;    76.27;    69.02;    68.92;    59.33;    69.29;    73.59;    63.83;    88.59;    76.33;    82.31;    90.11;    81.84;
1961;year;    65.17;    65.34;    87.29;    98.66;    70.33;    62.90;    59.24;    59.16;    52.95;    67.87;    60.22;    61.41;    69.73;    60.44;    67.87;    77.56;    72.64;
1962;year;    96.66;    96.78;   122.64;   132.97;   107.98;    87.57;    86.64;    86.48;    86.01;   102.80;    81.60;   100.57;   108.40;    95.05;   104.63;   117.13;   105.31;
1963;year;   114.24;   114.39;   117.73;   124.55;   113.14;   110.09;   103.13;   103.05;   102.12;   108.90;   102.77;    99.63;   113.66;   108.12;   112.24;   117.62;   112.49;
1964;year;   101.35;   101.49;   105.08;   115.20;    97.30;    98.66;    89.00;    88.93;    81.66;    92.20;    94.02;    87.33;   105.60;    96.32;   101.55;   108.37;    99.82;
1965;year;   103.26;   103.41;   105.36;   121.90;    98.22;    97.30;    86.48;    86.37;    77.63;    90.84;    88.68;    84.91;   108.46;    95.22;   103.03;   113.22;   100.55;
1966;year;    84.65;    84.80;    89.02;   101.16;    75.20;    83.60;    73.52;    73.46;    64.50;    69.60;    80.79;    69.21;    87.87;    77.03;    83.90;    92.86;    83.28;
1967;year;    69.10;    69.28;    98.28;   106.71;    77.38;    64.59;    52.99;    52.85;    53.99;    78.18;    52.07;    75.04;    79.14;    65.31;    75.47;    88.72;    77.05;
1968;year;    92.85;    92.99;   111.92;   123.49;   101.31;    86.39;    85.80;    85.66;    83.45;    97.20;    81.88;    91.42;   103.33;    93.80;   102.36;   113.54;   100.34;
1969;year;   123.83;   123.97;   114.65;   126.42;   112.06;   120.21;   107.70;   107.67;    94.23;   102.96;   112.89;    95.83;   123.58;   117.19;   120.26;   124.27;   115.26;
1970;year;   108.19;   108.34;   111.49;   121.69;   102.65;   107.58;    94.04;    93.99;    81.54;    95.53;   102.15;    90.35;   108.90;   100.10;   105.68;   112.96;   105.06;
1971;year;    81.16;    81.45;   110.35;   119.22;    88.01;    73.15;    69.80;    69.53;    66.91;    86.99;    62.80;    84.03;    90.85;    83.48;    90.50;    99.67;    89.62;
1972;year;    83.51;    83.79;   107.60;   123.61;    94.03;    77.32;    74.45;    74.22;    66.22;    84.96;    69.79;    77.13;    93.93;    84.27;    93.14;   104.72;    92.17;
1973;year;    89.82;    90.11;   125.84;   138.40;   106.20;    77.94;    71.34;    71.01;    72.12;    99.57;    66.40;   102.26;   105.85;    88.56;   102.40;   120.47;   100.80;
1974;year;    51.07;    51.32;    69.83;    84.30;    50.98;    44.92;    34.75;    34.56;    35.27;    48.03;    30.95;    43.40;    58.93;    48.01;    56.00;    66.43;    55.22;
1975;year;    67.93;    68.19;    94.04;   108.50;    78.21;    62.30;    58.64;    58.45;    57.34;    77.86;    57.40;    76.99;    81.85;    67.29;    77.93;    91.82;    78.47;
1976;year;    98.30;    98.53;   101.23;   115.73;    95.37;    98.16;    88.41;    88.27;    77.18;    87.21;    93.60;    84.73;   104.11;    97.39;   102.45;   109.05;    98.31;
1977;year;    68.28;    68.46;    79.23;    91.57;    68.63;    66.96;    55.75;    55.63;    53.39;    64.77;    63.04;    62.06;    78.94;    65.84;    72.60;    81.42;    71.34;
1978;year;    86.87;    87.09;   100.05;   117.17;    88.04;    84.65;    80.01;    79.86;    74.10;    84.77;    80.87;    83.71;    94.76;    88.74;    94.47;   101.95;    92.76;
1979;year;   100.67;   100.78;    98.89;   116.60;   102.00;    97.32;    91.55;    91.47;    87.14;    93.96;    94.09;    88.28;   107.57;   100.27;   106.58;   114.82;   101.19;
1980;year;   111.94;   112.19;   106.20;   120.01;    94.89;   112.41;    91.44;    91.45;    76.94;    86.71;   102.80;    81.22;   112.74;   106.14;   109.07;   112.90;   103.61;
1981;year;    92.69;    92.79;   108.09;   118.02;   102.10;    85.23;    86.62;    86.53;    83.03;    94.50;    85.57;    87.32;   105.75;    95.72;   102.93;   112.34;    99.06;
1982;year;    79.76;    79.97;    96.91;   112.17;    88.76;    75.02;    72.00;    71.94;    65.63;    78.91;    72.63;    70.84;    89.41;    79.12;    88.28;   100.23;    86.69;
1983;year;    74.36;    74.50;    97.54;   107.27;    87.98;    69.09;    64.91;    64.84;    66.76;    83.05;    66.17;    82.00;    82.59;    72.65;    82.36;    95.04;    83.11;
1984;year;    94.39;    94.61;   110.38;   125.40;    89.90;    87.33;    79.81;    79.72;    64.77;    79.60;    76.87;    73.84;   101.95;    92.29;    99.98;   110.02;    95.85;
1985;year;    99.22;    99.42;   118.43;   130.72;   111.48;    96.35;    92.17;    92.04;    93.49;   107.16;    91.87;   104.16;   107.72;    99.53;   108.29;   119.73;   107.96;
1986;year;    80.89;    81.01;   102.97;   113.07;    86.05;    81.02;    75.36;    75.33;    73.41;    85.76;    78.66;    84.13;    87.20;    80.06;    87.21;    96.54;    89.52;
1987;year;    95.12;    95.20;   104.51;   113.04;    98.25;    94.75;    85.70;    85.63;    83.12;    92.91;    89.29;    86.89;   102.90;    93.23;    99.95;   108.71;    97.81;
1988;year;    73.65;    73.77;    81.23;    97.23;    72.34;    67.10;    52.67;    52.55;    45.79;    62.84;    56.87;    58.31;    85.15;    70.00;    78.45;    89.48;    72.73;
1989;year;    63.12;    63.27;    86.51;    95.44;    74.29;    55.26;    52.03;    51.89;    51.80;    69.67;    47.11;    67.70;    72.45;    61.02;    69.91;    81.52;    70.33;
1990;year;    49.97;    50.22;    81.85;    93.58;    61.00;    40.90;    38.98;    38.79;    40.87;    56.89;    37.23;    53.25;    63.52;    51.51;    61.93;    75.52;    61.30;
