Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230110
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;year;    12.63;    12.63;    29.12;    23.88;    19.54;    15.75;    20.49;    20.55;    25.35;    24.03;    26.08;    29.07;    14.19;    13.43;    15.27;    17.68;    21.11;
1952;year;    10.32;    10.36;    33.99;    30.45;    22.72;    11.74;    16.94;    16.87;    23.55;    26.07;    18.39;    33.04;    17.56;    14.05;    17.16;    21.23;    22.14;
1953;year;     9.75;     9.74;    21.70;    19.37;    13.06;    10.37;    13.21;    13.18;    16.06;    12.53;    16.95;    11.36;    14.11;     9.47;    11.29;    13.67;    15.03;
1954;year;    14.69;    14.67;    30.54;    29.61;    21.04;    15.68;    23.04;    23.08;    27.95;    20.93;    25.20;    24.10;    23.22;    16.11;    17.75;    19.89;    23.71;
1955;year;    13.39;    13.41;    29.11;    28.82;    19.16;    13.37;    17.20;    17.18;    21.29;    18.75;    14.96;    25.22;    19.83;    14.89;    16.76;    19.21;    20.77;
1956;year;    16.23;    16.19;    29.37;    29.62;    24.68;    14.95;    20.68;    20.63;    27.22;    22.13;    18.44;    24.90;    21.97;    16.71;    18.85;    21.64;    23.32;
1957;year;    12.83;    12.86;    26.79;    28.03;    21.80;    11.42;    22.14;    22.09;    28.58;    20.17;    20.38;    26.91;    19.29;    14.10;    15.72;    17.84;    21.91;
1958;year;    11.89;    11.89;    35.53;    33.91;    26.68;    14.10;    20.60;    20.56;    28.44;    26.13;    20.91;    40.44;    20.04;    14.35;    17.80;    22.30;    24.83;
1959;year;    10.58;    10.57;    22.69;    20.97;    11.99;     8.84;     7.32;     7.36;    11.25;    13.73;     9.54;    16.64;    13.64;     7.85;     9.57;    11.81;    13.69;
1960;year;    14.46;    14.47;    28.19;    26.25;    23.99;    19.49;    20.10;    20.07;    27.87;    21.39;    23.15;    31.86;    19.27;    14.20;    16.49;    19.47;    22.45;
1961;year;    15.73;    15.74;    29.62;    26.77;    27.52;    16.07;    27.53;    27.45;    33.26;    22.68;    21.28;    29.86;    19.04;    17.07;    18.99;    21.49;    24.53;
1962;year;     9.37;     9.31;    24.79;    24.40;    16.44;    11.01;    15.69;    15.66;    20.91;    16.46;    21.42;    20.14;    11.69;     8.36;    10.13;    12.45;    17.57;
1963;year;     9.75;     9.73;    26.59;    24.73;    17.49;    12.50;    14.30;    14.27;    18.17;    16.35;    17.18;    24.78;    11.83;     8.83;    11.74;    15.53;    17.58;
1964;year;     9.52;     9.54;    23.25;    22.64;    14.56;     9.72;    11.67;    11.64;    16.55;    16.55;    14.11;    20.95;    12.59;     8.34;     9.95;    12.04;    15.65;
