Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230110
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;year;     0.02;     0.02;     0.00;     0.00;     0.03;     0.00;     0.00;     0.00;     0.00;     0.01;     0.00;     0.00;     0.14;     0.01;     0.01;     0.01;     0.01;
1952;year;     0.20;     0.21;     1.24;     0.74;     1.74;     0.00;     0.03;     0.03;     1.02;     2.69;     0.00;     3.62;     1.00;     0.18;     0.25;     0.34;     0.75;
1953;year;     0.02;     0.00;     0.03;     0.00;     0.05;     0.02;     0.00;     0.00;     0.02;     0.01;     0.01;     0.08;     0.00;     0.00;     0.00;     0.00;     0.01;
1954;year;     0.01;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.01;     0.00;     0.00;     0.08;     0.02;     0.03;     0.02;     0.00;     0.01;
1955;year;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.01;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;
1956;year;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;
1957;year;     0.68;     0.66;     0.72;     0.53;     1.05;     0.00;     0.04;     0.04;     1.21;     1.24;     0.00;     1.19;     1.36;     0.56;     0.60;     0.66;     0.63;
1958;year;     0.00;     0.00;     0.01;     0.00;     0.01;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;
1959;year;     0.61;     0.60;     0.12;     0.03;     0.27;     0.30;     0.08;     0.08;     0.81;     0.54;     0.00;     0.79;     1.23;     0.25;     0.21;     0.15;     0.32;
1960;year;     0.00;     0.00;     0.01;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.01;     0.00;     0.00;     0.00;     0.00;
1961;year;     0.01;     0.00;     0.00;     0.00;     0.01;     0.00;     0.00;     0.00;     0.00;     0.01;     0.00;     0.00;     0.01;     0.00;     0.00;     0.00;     0.00;
1962;year;     0.00;     0.00;     0.03;     0.01;     0.00;     0.00;     0.00;     0.00;     0.00;     0.01;     0.00;     0.07;     0.00;     0.00;     0.00;     0.00;     0.01;
1963;year;     0.85;     0.82;     0.04;     0.00;     0.07;     0.43;     0.00;     0.00;     0.01;     0.08;     0.00;     0.00;     0.26;     0.38;     0.22;     0.00;     0.15;
1964;year;     0.44;     0.43;     0.24;     0.04;     0.70;     0.00;     0.03;     0.03;     0.36;     0.89;     0.00;     1.03;     0.35;     0.72;     0.48;     0.16;     0.27;
1965;year;     0.00;     0.00;     0.06;     0.02;     0.02;     0.00;     0.00;     0.00;     0.00;     0.01;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.01;
1966;year;     0.17;     0.16;     0.01;     0.01;     0.02;     0.00;     0.00;     0.00;     0.02;     0.04;     0.00;     0.06;     0.39;     0.00;     0.00;     0.00;     0.04;
1967;year;     0.30;     0.28;     0.07;     0.00;     0.07;     0.00;     0.00;     0.00;     0.18;     0.16;     0.00;     0.24;     0.13;     0.00;     0.00;     0.00;     0.07;
1968;year;     0.05;     0.05;     0.11;     0.01;     0.02;     0.00;     0.00;     0.00;     0.06;     0.02;     0.00;     0.00;     0.06;     0.00;     0.00;     0.00;     0.03;
1969;year;     0.15;     0.13;     0.17;     0.08;     0.81;     0.55;     0.56;     0.58;     0.68;     0.72;     0.89;     0.32;     0.58;     0.72;     0.44;     0.08;     0.43;
1970;year;     0.01;     0.00;     0.01;     0.00;     0.02;     0.00;     0.00;     0.00;     0.00;     0.01;     0.00;     0.00;     0.19;     0.00;     0.00;     0.00;     0.01;
1971;year;     1.04;     1.03;     0.04;     0.01;     0.04;     0.11;     0.00;     0.00;     0.01;     0.15;     0.00;     0.06;     1.26;     0.27;     0.16;     0.02;     0.20;
1972;year;     0.83;     0.80;     0.04;     0.03;     0.28;     0.14;     0.02;     0.02;     0.29;     0.10;     0.00;     0.04;     1.14;     0.04;     0.02;     0.00;     0.20;
1973;year;     0.02;     0.02;     0.08;     0.00;     0.22;     0.07;     0.02;     0.02;     0.37;     0.17;     0.00;     0.11;     0.40;     0.03;     0.02;     0.01;     0.10;
1974;year;     0.03;     0.01;     0.14;     0.01;     0.01;     0.00;     0.00;     0.00;     0.27;     0.12;     0.00;     0.00;     0.41;     0.04;     0.03;     0.02;     0.08;
1975;year;     0.56;     0.52;     0.08;     0.02;     0.27;     0.05;     0.38;     0.39;     0.59;     0.07;     0.19;     0.00;     0.39;     0.01;     0.01;     0.00;     0.22;
1976;year;     0.81;     0.79;     0.42;     0.09;     1.22;     0.42;     0.10;     0.11;     0.75;     1.53;     0.11;     2.21;     1.40;     0.17;     0.17;     0.17;     0.51;
1977;year;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;
1978;year;     0.03;     0.01;     0.01;     0.00;     0.04;     0.00;     0.00;     0.00;     0.17;     0.02;     0.00;     0.00;     0.03;     0.00;     0.00;     0.00;     0.03;
1979;year;     0.11;     0.10;     0.00;     0.00;     0.01;     0.00;     0.01;     0.01;     0.01;     0.00;     0.00;     0.00;     0.07;     0.00;     0.00;     0.00;     0.02;
1980;year;     0.00;     0.00;     0.09;     0.01;     0.01;     0.00;     0.00;     0.00;     0.03;     0.02;     0.00;     0.00;     0.05;     0.00;     0.00;     0.00;     0.02;
1981;year;     0.01;     0.01;     0.08;     0.00;     0.04;     0.00;     0.01;     0.01;     0.02;     0.04;     0.00;     0.00;     0.26;     0.00;     0.00;     0.00;     0.03;
1982;year;     0.75;     0.69;     0.48;     0.00;     0.28;     0.02;     0.05;     0.06;     0.21;     0.48;     0.01;     0.32;     0.53;     0.11;     0.06;     0.00;     0.22;
1983;year;     0.78;     0.73;     1.42;     0.34;     0.85;     0.15;     0.11;     0.11;     0.67;     1.48;     0.02;     2.42;     1.56;     0.66;     0.61;     0.55;     0.66;
1984;year;     0.66;     0.64;     0.15;     0.03;     0.17;     0.00;     0.21;     0.21;     0.76;     0.19;     0.00;     0.05;     0.87;     0.71;     0.43;     0.06;     0.29;
1985;year;     0.25;     0.23;     0.08;     0.00;     0.01;     0.00;     0.00;     0.00;     0.00;     0.03;     0.00;     0.00;     0.20;     0.00;     0.00;     0.00;     0.04;
1986;year;     0.86;     0.82;     0.05;     0.02;     0.30;     0.34;     0.23;     0.23;     0.27;     0.21;     0.00;     0.10;     0.34;     0.12;     0.07;     0.00;     0.22;
1987;year;     0.53;     0.51;     0.35;     0.01;     0.28;     0.05;     0.02;     0.02;     0.35;     0.32;     0.00;     0.62;     0.49;     0.01;     0.01;     0.02;     0.19;
1988;year;     0.53;     0.53;     0.15;     0.02;     0.09;     0.07;     0.00;     0.00;     0.05;     0.06;     0.00;     0.00;     0.53;     0.18;     0.10;     0.00;     0.12;
1989;year;     0.39;     0.37;     0.38;     0.00;     0.06;     0.00;     0.01;     0.01;     0.62;     0.39;     0.00;     0.36;     0.10;     0.00;     0.00;     0.00;     0.17;
1990;year;     0.13;     0.11;     0.20;     0.00;     0.15;     0.09;     0.02;     0.02;     0.40;     0.44;     0.00;     0.51;     0.09;     0.02;     0.01;     0.00;     0.12;
1991;year;     0.80;     0.76;     0.67;     0.15;     0.66;     0.02;     0.19;     0.20;     1.00;     1.39;     0.01;     1.65;     0.97;     0.15;     0.12;     0.08;     0.48;
1992;year;     1.06;     1.06;     1.11;     0.20;     0.66;     0.43;     0.41;     0.42;     0.97;     1.40;     0.02;     1.36;     1.03;     0.57;     0.41;     0.19;     0.64;
1993;year;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;
1994;year;     3.17;     3.10;     1.18;     0.50;     1.75;     2.03;     1.87;     1.92;     2.30;     2.18;     2.82;     3.01;     1.89;     1.61;     1.26;     0.81;     1.70;
1995;year;     0.29;     0.28;     0.40;     0.04;     0.23;     0.00;     0.06;     0.06;     0.62;     0.48;     0.00;     0.68;     0.07;     0.03;     0.04;     0.05;     0.19;
1996;year;     0.00;     0.00;     0.01;     0.00;     0.00;     0.00;     0.02;     0.02;     0.03;     0.05;     0.00;     0.21;     0.02;     0.00;     0.00;     0.00;     0.01;
1997;year;     0.23;     0.22;     0.08;     0.00;     0.08;     0.33;     0.44;     0.45;     0.50;     0.16;     0.75;     0.23;     0.01;     0.13;     0.07;     0.00;     0.21;
1998;year;     0.18;     0.18;     0.54;     0.05;     0.22;     0.01;     0.33;     0.33;     0.26;     0.52;     0.01;     0.71;     0.68;     0.21;     0.14;     0.06;     0.25;
1999;year;     0.10;     0.08;     0.13;     0.05;     0.09;     0.03;     0.04;     0.04;     0.10;     0.20;     0.00;     0.05;     0.08;     0.00;     0.01;     0.02;     0.07;
2000;year;     0.15;     0.14;     0.05;     0.01;     0.04;     0.10;     0.14;     0.14;     0.18;     0.21;     0.02;     0.00;     0.29;     0.09;     0.07;     0.04;     0.10;
2001;year;     0.48;     0.47;     0.27;     0.05;     0.46;     0.06;     0.12;     0.12;     0.66;     0.86;     0.01;     0.56;     0.47;     0.17;     0.12;     0.06;     0.28;
2002;year;     0.79;     0.74;     0.44;     0.17;     0.27;     0.09;     0.12;     0.12;     0.41;     0.46;     0.09;     0.97;     0.21;     0.16;     0.12;     0.06;     0.28;
2003;year;     1.01;     0.97;     2.75;     1.16;     2.67;     0.17;     0.66;     0.67;     2.09;     4.67;     0.18;     6.26;     1.21;     1.29;     1.12;     0.90;     1.54;
2004;year;     0.01;     0.00;     0.13;     0.01;     0.09;     0.00;     0.04;     0.04;     0.42;     0.08;     0.01;     0.53;     0.00;     0.00;     0.00;     0.00;     0.08;
2005;year;     0.13;     0.12;     0.36;     0.04;     0.31;     0.00;     0.04;     0.04;     0.46;     0.69;     0.00;     0.87;     0.03;     0.05;     0.03;     0.00;     0.17;
2006;year;     1.70;     1.57;     1.13;     0.23;     1.32;     0.85;     0.95;     0.97;     1.32;     2.60;     1.06;     2.96;     0.55;     0.93;     0.57;     0.10;     1.00;
2007;year;     0.36;     0.33;     0.23;     0.08;     0.23;     0.01;     0.16;     0.16;     0.07;     0.28;     0.00;     0.00;     0.64;     0.32;     0.21;     0.07;     0.18;
2008;year;     0.11;     0.07;     0.02;     0.00;     0.06;     0.00;     0.00;     0.00;     0.07;     0.03;     0.00;     0.00;     0.04;     0.02;     0.01;     0.00;     0.03;
2009;year;     0.00;     0.00;     0.06;     0.00;     0.02;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.01;     0.01;
2010;year;     2.12;     2.02;     0.34;     0.07;     0.79;     1.77;     1.07;     1.09;     1.01;     0.80;     0.63;     0.07;     0.84;     1.12;     0.92;     0.65;     0.84;
2011;year;     0.00;     0.00;     0.23;     0.03;     0.02;     0.00;     0.00;     0.00;     0.11;     0.16;     0.00;     0.42;     0.02;     0.01;     0.01;     0.00;     0.06;
2012;year;     0.16;     0.15;     0.15;     0.03;     0.16;     0.00;     0.15;     0.15;     0.41;     0.65;     0.00;     0.73;     0.67;     0.21;     0.20;     0.18;     0.20;
2013;year;     1.23;     1.16;     0.63;     0.28;     0.74;     0.33;     0.12;     0.12;     0.73;     1.41;     0.01;     1.44;     0.49;     0.10;     0.12;     0.15;     0.50;
2014;year;     0.47;     0.43;     0.08;     0.02;     0.20;     0.15;     0.33;     0.32;     0.45;     0.60;     0.02;     0.60;     0.12;     0.14;     0.11;     0.07;     0.22;
2015;year;     1.95;     1.90;     2.60;     0.80;     2.20;     0.30;     0.00;     0.00;     1.50;     3.50;     0.00;     3.60;     1.80;     0.70;     0.87;     1.10;     1.30;
2016;year;     0.17;     0.13;     0.05;     0.01;     0.07;     0.03;     0.00;     0.00;     0.37;     0.20;     0.01;     0.58;     0.01;     0.00;     0.00;     0.00;     0.08;
2017;year;     0.00;     0.00;     0.15;     0.05;     0.04;     0.00;     0.00;     0.00;     0.01;     0.22;     0.00;     0.18;     0.07;     0.00;     0.00;     0.00;     0.04;
2018;year;     3.00;     2.91;     0.71;     0.43;     1.67;     2.19;     1.15;     1.15;     0.75;     2.18;     1.22;     2.99;     2.13;     2.10;     1.54;     0.80;     1.35;
2019;year;     1.23;     1.17;     0.72;     0.26;     1.31;     0.15;     0.72;     0.73;     1.59;     2.55;     0.06;     2.51;     1.08;     0.48;     0.35;     0.19;     0.82;
2020;year;     0.79;     0.75;     0.42;     0.07;     1.02;     0.09;     1.04;     1.03;     2.06;     1.99;     0.07;     2.78;     0.77;     0.49;     0.35;     0.16;     0.74;
2021;year;     0.86;     0.82;     0.06;     0.02;     0.19;     0.88;     0.10;     0.10;     0.48;     0.16;     0.03;     0.10;     0.77;     0.49;     0.29;     0.03;     0.29;
2022;year;     0.47;     0.42;     0.29;     0.04;     0.43;     0.09;     0.13;     0.14;     0.26;     0.79;     0.03;     0.65;     0.67;     0.27;     0.24;     0.21;     0.26;
