Jahr,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen,Deutschland
1952,19.88,19.92,33.33,42.19,26.79,14.72,15.65,15.57,11.78,21.26,11.35,25.75,33.84,21.04,28.13,37.39,25.70
1953,17.43,17.48,29.60,38.04,22.44,15.97,14.28,14.23,15.71,20.31,14.03,21.59,28.16,16.50,21.87,28.89,23.40
1954,38.95,38.95,32.09,39.97,30.32,35.19,28.44,28.46,21.28,27.91,28.95,25.55,39.63,34.11,36.52,39.67,33.25
1955,31.17,31.21,28.42,41.07,32.86,32.05,26.80,26.77,20.32,26.83,27.45,27.93,38.51,32.22,36.91,43.03,31.93
1956,43.42,43.49,45.18,54.41,44.65,38.96,35.83,35.78,33.72,40.03,34.45,38.98,53.45,42.65,47.11,52.94,43.89
1957,9.82,9.84,17.87,24.76,15.19,8.85,8.07,8.01,8.20,13.16,6.67,10.99,16.39,9.65,13.88,19.40,14.26
1958,11.45,11.54,21.57,30.41,19.84,19.57,11.80,11.81,10.72,15.48,15.76,14.82,22.30,12.35,18.74,27.08,18.98
1959,19.46,19.56,17.04,24.13,14.94,22.94,16.11,16.16,9.49,11.94,20.18,10.87,22.22,18.76,20.42,22.58,18.50
1960,20.92,20.92,22.15,29.75,21.17,20.74,15.24,15.22,13.85,18.04,16.23,17.27,26.19,19.67,24.10,29.89,21.57
1961,20.37,20.39,20.05,28.06,21.40,19.71,17.34,17.34,15.25,18.34,16.88,15.69,22.78,18.29,21.37,25.40,20.91
1962,29.79,29.82,33.35,45.17,33.35,28.89,25.35,25.27,23.00,25.27,22.14,21.58,35.46,30.06,35.07,41.61,32.28
1963,62.84,62.91,57.32,67.79,63.87,64.38,60.71,60.65,54.20,59.77,58.00,59.23,66.46,63.15,66.04,69.82,62.42
1964,32.01,32.08,33.51,44.34,32.28,31.82,26.81,26.75,18.19,26.73,23.89,26.91,39.57,31.57,36.13,42.08,32.72
1965,25.51,25.57,26.33,35.82,23.89,23.25,18.12,18.00,16.47,18.69,13.73,17.87,32.71,24.16,29.66,36.84,25.37
1966,33.04,33.04,21.94,28.33,22.16,32.65,27.23,27.26,16.99,18.61,29.31,14.84,30.92,29.01,29.94,31.15,26.48
1967,11.71,11.74,23.35,28.54,17.30,10.81,8.92,8.89,11.02,16.55,8.58,15.50,20.58,12.01,16.51,22.39,17.16
1968,28.66,28.70,32.31,42.14,31.85,27.33,22.87,22.77,20.32,26.14,19.83,24.50,37.18,31.51,36.43,42.86,30.90
1969,52.77,52.78,43.24,50.82,44.25,55.24,40.82,40.86,28.22,37.33,45.35,34.50,55.63,49.79,53.29,57.85,46.02
1970,41.28,41.30,33.27,45.06,35.53,43.62,33.52,33.53,26.04,28.98,37.62,24.74,43.75,39.30,42.51,46.69,37.82
1971,18.69,18.73,26.35,32.07,23.64,18.47,15.79,15.77,16.22,19.90,15.55,16.49,26.92,18.22,22.38,27.80,22.48
1972,21.45,21.47,21.89,30.82,21.33,24.50,16.39,16.41,11.11,17.79,18.56,14.28,24.92,20.13,23.84,28.69,21.92
1973,12.37,12.41,26.22,33.65,17.86,9.78,7.36,7.34,7.69,14.20,6.47,9.84,24.27,11.73,18.34,26.96,18.07
1974,0.96,0.98,6.90,8.91,4.43,1.64,1.23,1.21,2.28,4.29,0.94,2.77,8.33,1.33,4.01,7.50,4.44
1975,7.39,7.43,13.84,17.70,9.47,5.13,2.96,2.92,4.93,7.69,2.18,4.65,14.78,7.28,10.39,14.45,9.69
1976,27.21,27.25,27.84,35.80,26.30,28.37,20.15,20.10,16.65,21.26,21.10,18.49,34.97,26.69,30.56,35.62,27.12
1977,9.65,9.69,16.84,23.75,12.46,10.72,7.33,7.31,5.97,11.38,8.62,8.91,18.62,10.03,14.42,20.14,13.74
1978,27.68,27.75,31.38,38.49,28.00,28.92,24.57,24.54,19.79,24.47,24.66,24.03,30.48,26.77,30.35,35.03,29.20
1979,35.45,35.59,24.36,27.77,29.29,45.55,31.98,32.01,25.39,27.66,39.36,23.01,33.15,32.79,34.49,36.72,31.11
