Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230602
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;08;   213.9;   214.1;   213.8;   220.7;   201.5;   203.9;   192.5;   192.8;   179.8;   198.1;   196.3;   213.4;   226.3;   186.6;   188.6;   191.2;   204.1;
1952;08;   220.3;   220.1;   238.0;   227.1;   195.1;   214.9;   184.4;   184.7;   176.2;   198.4;   186.7;   218.7;   223.0;   196.2;   195.8;   195.3;   207.5;
1953;08;   241.7;   241.7;   274.9;   262.2;   247.5;   234.3;   209.6;   209.5;   206.5;   245.8;   214.3;   284.2;   244.7;   223.6;   228.0;   233.5;   239.3;
1954;08;   185.7;   185.7;   177.8;   188.7;   156.2;   169.4;   147.1;   147.1;   137.5;   164.5;   151.2;   177.1;   209.8;   165.8;   165.5;   165.2;   169.3;
1955;08;   219.4;   219.2;   207.7;   184.8;   175.3;   241.7;   198.0;   198.7;   172.2;   200.0;   248.8;   236.6;   188.2;   177.6;   166.0;   151.4;   196.1;
1956;08;   182.4;   182.5;   190.0;   187.5;   173.9;   187.3;   163.9;   163.9;   157.3;   180.3;   172.8;   202.0;   177.6;   169.3;   167.4;   164.9;   176.9;
1957;08;   175.7;   175.8;   197.3;   192.6;   170.0;   178.7;   153.6;   153.5;   163.0;   181.2;   172.7;   196.8;   169.3;   157.2;   160.6;   164.9;   175.3;
1958;08;   225.8;   225.7;   220.2;   219.5;   203.8;   203.5;   185.1;   185.3;   179.4;   192.5;   204.9;   191.7;   220.1;   210.6;   210.8;   211.1;   206.5;
1959;08;   205.9;   206.3;   217.6;   204.6;   215.8;   224.6;   205.4;   205.5;   206.9;   224.6;   223.3;   249.1;   198.3;   186.0;   185.2;   184.2;   208.2;
1960;08;   160.1;   160.0;   176.3;   173.2;   139.7;   154.3;   120.4;   120.6;   127.3;   144.1;   152.6;   148.4;   160.0;   150.3;   150.3;   150.2;   152.0;
1961;08;   173.8;   173.9;   220.7;   208.9;   180.3;   191.0;   162.3;   162.6;   154.5;   196.3;   195.6;   220.4;   165.0;   170.3;   171.5;   173.0;   185.5;
