Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230702
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;02;    67.0;    67.2;    65.9;    63.7;    49.7;    56.1;    44.6;    44.5;    52.1;    59.1;    37.5;    59.8;    80.6;    50.2;    50.5;    50.9;    57.3;
1952;02;    61.5;    61.5;    61.1;    42.5;    43.6;    62.9;    52.3;    52.4;    42.9;    57.4;    65.0;    74.9;    46.4;    58.5;    52.0;    43.9;    52.0;
1953;02;    55.5;    55.4;    73.4;    76.3;    56.8;    48.1;    48.4;    48.2;    56.0;    62.0;    42.1;    62.5;    52.7;    50.4;    52.2;    54.4;    59.4;
1954;02;   114.9;   114.9;    63.4;    82.3;    82.5;    94.4;    77.2;    77.2;    81.9;    78.5;    73.7;    80.0;   113.7;    95.7;    94.6;    93.2;    85.5;
1955;02;    92.8;    92.8;    52.1;    58.9;    65.7;    74.1;    92.9;    92.8;    72.2;    54.5;    88.8;    52.9;    89.8;    80.7;    76.4;    71.0;    72.7;
1956;02;    80.1;    80.5;    93.1;    95.2;   102.1;    75.1;    82.4;    82.5;    93.0;   103.7;    83.3;   127.6;    75.2;    66.5;    70.2;    74.8;    87.5;
1957;02;    54.0;    54.2;    70.4;    64.1;    57.6;    65.2;    45.5;    45.5;    48.6;    68.1;    54.4;    74.6;    55.1;    47.7;    48.5;    49.6;    57.4;
1958;02;    82.2;    82.3;    65.4;    60.9;    67.1;    86.2;    67.2;    67.3;    62.0;    69.7;    84.3;    67.4;    64.0;    76.6;    73.8;    70.2;    69.2;
1959;02;    77.1;    77.3;   143.8;   135.2;   122.1;    57.0;    65.7;    65.4;   106.6;   120.7;    58.1;   151.2;   121.3;    81.9;    97.3;   116.6;   104.5;
1960;02;    88.1;    88.3;    78.1;    73.9;    57.6;    72.7;    60.6;    60.5;    63.0;    69.9;    56.4;    66.8;    88.8;    72.1;    67.1;    60.7;    70.7;
1961;02;    69.2;    69.4;    96.4;    78.8;    74.3;    51.7;    59.3;    59.1;    80.4;    82.4;    51.1;    84.6;    83.1;    75.0;    78.6;    83.2;    74.5;
1962;02;    64.1;    64.2;    67.1;    62.2;    67.8;    70.4;    60.7;    60.7;    62.6;    72.3;    77.3;    82.3;    60.9;    65.5;    63.3;    60.6;    65.0;
1963;02;    68.1;    68.2;    89.5;    97.7;    90.0;    45.9;    67.1;    66.7;    80.1;    89.4;    47.9;    94.6;    74.2;    62.1;    71.0;    82.2;    78.0;
1964;02;   103.0;   103.0;    82.2;    94.8;    81.8;   101.4;    75.8;    75.8;    71.3;    71.8;    87.4;    72.1;   105.3;    95.5;    95.2;    94.9;    87.9;
1965;02;    56.7;    56.7;    77.8;    70.0;    59.9;    69.9;    58.9;    59.2;    54.7;    76.1;    86.0;    88.6;    42.1;    51.2;    49.6;    47.6;    63.8;
1966;02;    44.5;    44.6;    63.9;    62.9;    44.5;    58.4;    49.6;    49.7;    37.3;    52.5;    54.4;    58.4;    39.6;    42.8;    42.9;    43.0;    51.6;
1967;02;    77.8;    77.9;   112.3;   109.7;    88.1;    67.7;    71.4;    71.3;    78.8;    93.9;    75.8;    97.0;    93.1;    83.4;    85.9;    89.0;    89.3;
1968;02;    68.7;    68.7;    71.8;    66.9;    55.5;    68.5;    57.6;    57.6;    51.4;    55.1;    58.2;    61.3;    59.6;    64.4;    62.6;    60.3;    62.4;
1969;02;    59.7;    59.8;    72.5;    75.2;    55.7;    56.4;    54.4;    54.5;    57.3;    63.6;    54.0;    64.1;    70.1;    59.1;    58.0;    56.6;    63.1;
1970;02;    44.1;    44.2;    31.9;    44.0;    42.6;    53.5;    36.9;    36.8;    38.4;    43.9;    38.4;    43.9;    52.0;    50.4;    48.2;    45.4;    42.4;
1971;02;    51.4;    51.3;    63.3;    57.5;    43.7;    45.6;    45.4;    45.5;    52.0;    49.4;    51.7;    56.9;    43.5;    43.1;    42.4;    41.6;    50.9;
1972;02;    57.4;    57.2;    65.0;    70.1;    54.5;    45.6;    42.5;    42.4;    54.8;    45.9;    36.0;    56.7;    53.4;    50.5;    55.7;    62.2;    55.5;
1973;02;    46.2;    46.3;    66.7;    53.6;    63.5;    57.1;    51.1;    51.1;    54.6;    77.5;    56.2;    88.3;    43.5;    57.9;    58.5;    59.2;    56.6;
1974;02;    54.6;    54.6;    53.6;    62.5;    54.0;    59.4;    66.7;    66.9;    66.6;    62.4;    72.9;    67.0;    47.8;    50.0;    49.1;    47.9;    59.5;
1975;02;    92.8;    92.8;   139.0;   144.8;   133.3;   105.8;   109.6;   109.4;   137.8;   145.5;    94.4;   148.4;   106.9;    92.3;   102.0;   114.1;   122.6;
1976;02;    97.7;    97.5;    73.0;    72.1;    56.7;    94.1;    67.3;    67.5;    71.4;    55.8;    71.6;    53.9;    88.1;    77.2;    74.8;    71.7;    74.3;
1977;02;    53.3;    53.3;    62.5;    64.0;    55.4;    41.6;    49.4;    49.1;    66.3;    53.9;    28.8;    44.7;    62.5;    59.5;    61.5;    64.1;    56.6;
1978;02;    73.3;    73.3;    47.4;    47.5;    41.1;    69.5;    59.7;    59.8;    62.4;    41.1;    62.0;    38.0;    57.9;    61.7;    54.7;    45.8;    55.3;
1979;02;    64.2;    64.0;    48.3;    61.7;    57.0;    56.5;    42.0;    42.1;    49.6;    48.6;    54.1;    45.8;    62.1;    51.6;    56.6;    62.9;    54.4;
1980;02;    56.3;    56.2;    91.2;   103.5;    80.3;    46.0;    62.0;    61.9;    75.5;    80.3;    55.9;    84.9;    76.7;    64.6;    72.3;    81.9;    76.7;
1981;02;    68.5;    68.5;    98.4;    90.5;    70.4;    66.7;    60.4;    60.4;    75.1;    85.0;    64.3;    96.7;    60.2;    62.9;    61.0;    58.6;    75.2;
1982;02;    99.0;    98.8;    96.8;    98.4;    98.2;    80.0;    91.0;    90.8;   108.2;    98.4;    70.2;    99.5;   113.1;    97.6;    99.7;   102.4;    96.7;
1983;02;    70.6;    70.5;    80.7;    85.9;    81.3;    73.8;    75.4;    75.5;    87.3;    87.8;    85.4;    86.7;    59.1;    72.0;    72.3;    72.6;    79.0;
1984;02;    75.7;    75.8;    71.0;    79.7;    72.2;    64.9;    70.0;    69.9;    81.7;    76.2;    62.4;    85.8;    82.2;    67.5;    69.7;    72.5;    74.1;
1985;02;    92.3;    92.2;   112.6;   103.9;   124.0;    81.8;    94.7;    94.5;   124.8;   126.8;    75.0;   126.7;    85.3;    93.1;   100.1;   108.9;   103.1;
1986;02;    97.9;    97.8;    71.6;    94.2;    93.3;    94.6;   106.5;   106.5;   104.2;    99.6;    94.6;   106.2;    86.3;    87.3;    83.5;    78.8;    93.7;
1987;02;    63.4;    63.4;    38.8;    49.3;    42.9;    76.9;    68.5;    68.8;    49.4;    37.8;    80.0;    34.4;    62.3;    60.2;    57.8;    54.7;    55.7;
1988;02;    58.7;    58.6;    66.9;    65.1;    54.1;    47.8;    49.3;    49.3;    57.3;    66.4;    45.9;    74.1;    53.0;    53.7;    52.2;    50.2;    57.4;
1989;02;    77.3;    77.2;    68.8;    55.2;    46.6;    72.8;    84.1;    84.0;    87.5;    51.7;    69.8;    36.8;    75.0;    77.1;    71.7;    64.9;    69.1;
1990;02;   102.4;   102.5;   105.4;   111.6;    89.5;    95.4;    90.1;    90.1;    91.5;    99.9;    81.1;    97.6;   109.9;   101.1;    96.9;    91.5;    99.3;
1991;02;    75.7;    75.8;   100.9;   106.2;    89.3;    73.6;    83.7;    83.5;    93.4;   105.0;    80.2;   120.2;   102.7;    88.7;    91.0;    93.8;    92.8;
1992;02;    47.5;    47.5;    78.7;    61.7;    43.3;    42.3;    51.2;    51.2;    58.4;    61.0;    50.7;    72.4;    61.6;    58.2;    57.4;    56.3;    57.3;
1993;02;    54.3;    54.4;    78.0;    70.0;    75.1;    43.9;    55.9;    55.7;    75.3;    58.2;    44.8;    43.6;    91.1;    69.5;    77.1;    86.7;    66.5;
1994;02;    77.4;    77.3;    69.2;    79.1;    75.1;    66.3;    75.8;    75.8;    79.9;    64.0;    66.7;    62.2;    74.5;    77.2;    73.9;    69.7;    74.2;
1995;02;    68.7;    68.6;    59.8;    55.8;    54.6;    61.2;    59.2;    59.2;    56.4;    51.7;    60.2;    45.4;    67.5;    71.0;    65.6;    58.7;    59.6;
1996;02;    87.8;    87.6;    81.7;    87.3;    64.2;    72.8;    60.6;    60.7;    52.9;    62.7;    59.1;    68.8;    89.2;    78.4;    78.4;    78.3;    74.0;
1997;02;    79.9;    80.0;    95.7;    93.6;    69.8;    69.3;    66.2;    66.1;    57.5;    67.7;    64.0;    68.5;    89.9;    86.3;    82.5;    77.8;    78.3;
1998;02;    69.1;    69.1;   134.7;   115.2;    95.9;    57.6;    63.7;    63.4;    87.5;   109.3;    41.3;   125.2;    83.1;    83.0;    84.6;    86.6;    90.5;
1999;02;    62.1;    62.1;    48.8;    48.2;    61.2;    60.0;    51.1;    51.1;    50.5;    63.4;    60.3;    60.7;    57.0;    59.6;    61.5;    63.9;    54.9;
2000;02;    65.7;    65.7;    77.4;    72.4;    73.0;    65.8;    75.1;    75.0;    77.6;    75.7;    64.9;    71.9;    61.8;    74.9;    74.5;    73.9;    72.3;
2001;02;    69.7;    69.9;    85.4;    86.4;    70.4;    88.8;    62.9;    62.8;    70.0;    75.6;    62.8;    77.6;    68.1;    66.3;    67.9;    69.8;    74.8;
2002;02;    93.8;    93.8;    64.0;    72.0;    73.4;    91.7;    85.4;    85.5;    76.1;    74.0;    81.2;    69.4;    82.4;    91.0;    84.4;    76.1;    78.9;
2003;02;   116.4;   116.4;   130.5;   137.3;   139.9;   106.3;   120.0;   120.0;   149.6;   144.1;   104.0;   150.3;   133.9;   113.5;   117.0;   121.4;   128.6;
2004;02;    59.4;    59.1;    90.1;    74.2;    56.7;    62.8;    67.0;    67.2;    51.4;    65.3;    84.0;    71.5;    44.7;    59.2;    56.9;    54.1;    66.3;
2005;02;    72.5;    72.4;    59.1;    71.2;    65.3;    68.8;    64.0;    64.0;    67.3;    68.4;    72.2;    70.2;    62.7;    71.3;    68.4;    64.7;    67.4;
2006;02;    49.0;    49.0;    61.5;    64.5;    47.2;    47.2;    44.8;    44.8;    44.7;    42.0;    47.5;    39.8;    59.7;    47.8;    49.3;    51.2;    52.2;
2007;02;    55.5;    55.4;    88.4;    80.8;    50.6;    46.3;    39.1;    39.0;    42.2;    62.5;    38.6;    64.5;    60.4;    56.6;    55.9;    55.2;    59.5;
2008;02;    90.6;    90.6;   162.2;   150.0;   121.9;    84.2;    98.3;    98.0;   118.0;   136.5;    72.7;   136.6;    96.8;   103.9;   105.3;   107.0;   118.6;
2009;02;    31.5;    31.6;    62.0;    56.7;    46.3;    33.4;    36.6;    36.6;    34.9;    47.2;    44.3;    45.7;    40.9;    37.2;    42.1;    48.3;    44.7;
2010;02;    49.7;    49.7;    57.9;    58.1;    35.8;    36.9;    38.5;    38.4;    31.3;    38.4;    34.0;    37.1;    54.5;    50.3;    47.0;    42.8;    45.8;
2011;02;    93.9;    93.8;    77.4;    86.5;    66.5;    73.6;    65.2;    65.1;    64.2;    57.9;    57.6;    52.2;   103.1;    91.8;    91.1;    90.2;    77.4;
2012;02;    98.9;    99.0;   112.8;   105.2;   102.6;    85.9;    82.7;    82.8;    85.5;   115.4;    87.4;   129.2;    96.4;    98.4;    95.1;    90.9;    97.6;
2013;02;    24.9;    25.0;    34.9;    35.5;    30.2;    27.6;    39.6;    39.5;    37.1;    31.4;    36.8;    27.8;    22.9;    32.4;    30.1;    27.2;    33.0;
2014;02;   115.9;   115.8;    85.0;    92.9;    59.8;   101.8;    84.4;    84.5;    78.5;    58.3;    92.1;    40.4;   109.9;    99.0;    90.3;    79.1;    88.4;
2015;02;   110.2;   110.1;    86.4;    83.3;    74.7;    86.3;    85.1;    84.8;    90.7;    69.9;    63.1;    66.0;   114.9;   102.0;    99.3;    95.8;    88.0;
2016;02;    66.1;    66.2;    48.1;    51.9;    48.3;    67.1;    74.4;    74.3;    72.4;    54.4;    65.9;    52.9;    58.5;    65.4;    58.3;    49.0;    60.2;
2017;02;    65.1;    65.2;    87.1;    89.8;    67.7;    54.6;    51.9;    51.9;    61.5;    63.2;    43.8;    57.3;    71.2;    61.8;    64.0;    67.0;    68.7;
2018;02;   133.6;   133.3;    90.7;    96.8;   117.4;   115.4;   120.3;   120.5;   133.3;   127.5;   111.1;   125.4;   124.4;   117.2;   109.6;    99.5;   113.7;
2019;02;   119.2;   119.2;   161.2;   143.5;   127.9;   105.3;   112.8;   112.8;   123.5;   142.5;   105.0;   154.8;   123.9;   122.4;   121.9;   121.3;   128.9;
2020;02;    51.8;    51.9;    94.8;    84.8;    56.4;    57.7;    48.9;    48.8;    52.7;    67.0;    45.8;    66.4;    50.2;    54.9;    54.1;    53.2;    63.9;
2021;02;    92.2;    92.2;   128.1;   125.6;   111.6;    94.3;    90.7;    90.7;   106.0;   117.7;    92.7;   114.2;    98.8;    94.9;    97.3;   100.6;   107.3;
2022;02;    68.5;    68.6;   107.1;   101.1;    80.2;    70.2;    74.5;    74.5;    78.6;    90.7;    73.7;    89.3;    81.5;    79.0;    80.6;    82.6;    85.0;
2023;02;    76.8;    76.8;   109.5;    97.0;    88.4;    77.6;    86.3;    86.2;    92.6;   105.1;    74.3;   113.0;    71.4;    76.9;    78.1;    79.7;    89.2;
