Jahr,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen,Deutschland
1952,1653.4,1654.0,1712.1,1577.7,1517.5,1714.3,1484.9,1486.5,1432.2,1589.8,1613.2,1746.0,1607.6,1562.6,1526.4,1480.8,1576.7
1953,1919.9,1919.1,1906.9,1889.9,1765.0,1876.9,1609.5,1610.1,1562.3,1716.7,1694.1,1917.5,1892.9,1740.7,1741.2,1741.9,1783.9
1954,1676.4,1676.5,1588.6,1580.4,1535.6,1619.1,1483.9,1483.6,1448.8,1555.6,1511.5,1658.7,1665.1,1574.2,1542.4,1502.5,1560.4
1955,1734.0,1732.8,1659.1,1606.9,1585.7,1783.4,1626.2,1627.8,1538.5,1658.8,1824.0,1833.7,1589.6,1558.6,1519.2,1469.6,1633.7
1956,1621.3,1623.2,1604.9,1597.7,1452.1,1701.6,1428.5,1430.7,1302.9,1478.2,1696.7,1687.9,1551.9,1478.7,1444.7,1402.0,1528.5
1957,1695.3,1696.1,1731.0,1668.1,1610.0,1688.4,1548.1,1549.5,1512.8,1684.1,1718.3,1864.2,1666.8,1577.9,1574.4,1570.1,1638.8
1958,1583.2,1583.0,1654.1,1629.1,1465.2,1584.2,1387.4,1388.6,1392.5,1534.8,1572.4,1607.0,1509.2,1436.2,1434.7,1432.8,1526.2
1959,2007.3,2009.0,2021.4,1993.6,2003.3,2041.1,1898.7,1899.6,1953.4,1993.6,2085.0,2112.7,2007.5,1919.7,1936.0,1956.5,1984.0
1960,1587.0,1587.8,1559.2,1579.6,1412.5,1629.0,1329.4,1331.1,1319.4,1408.8,1529.2,1435.5,1541.6,1441.8,1422.6,1398.5,1482.4
1961,1637.5,1638.2,1742.2,1708.3,1457.7,1693.2,1356.2,1358.1,1337.2,1522.8,1648.9,1670.5,1577.1,1468.6,1461.7,1452.9,1562.2
1962,1504.4,1506.0,1847.2,1771.5,1549.6,1529.3,1301.7,1301.7,1279.8,1644.0,1512.1,1815.1,1547.1,1455.9,1484.4,1520.3,1558.1
1963,1783.8,1784.9,1627.0,1665.7,1538.4,1747.9,1488.1,1487.1,1456.2,1548.5,1545.2,1633.9,1674.6,1616.9,1611.1,1603.9,1608.6
